id,x,y,Floor,Occupancy,type,area,vid
158790,91.79581996,22.35757465,1,RES1,MSF1,14.1396,577
158791,91.79571701,22.35750064,1,RES1,MSF1,372.0628,577
158792,91.79576393,22.35745804,1,RES1,MSF1,17.1439,577
158793,91.79590355,22.35739645,1,RES1,MSF1,27.9181,577
158794,91.79627327,22.35745995,1,COM1,MLRM1,14.1396,578
158795,91.79649086,22.35784895,1,RES1,MSF1,14.1396,578
158796,91.79646463,22.35766074,1,RES1,MSF1,17.1439,578
158797,91.79635689,22.35756458,1,RES1,MSF1,14.1396,578
158798,91.79695429,22.35753032,1,RES1,MSF1,14.1396,578
158799,91.79689787,22.3574724,1,COM1,MLRM1,14.1396,578
158800,91.79966146,22.35861742,1,COM1,MLRM1,14.1396,776
158801,91.79981927,22.35727071,1,COM1,MLRM1,14.1396,573
158802,91.79986895,22.35702024,1,RES1,MSF1,14.1396,573
158803,91.80206479,22.35853637,1,COM1,MLRM1,14.1396,776
158804,91.80206797,22.35843152,1,RES2,MHPHUD,14.1396,776
158805,91.79951438,22.35777239,1,COM1,MHPHUD,27.9472,776
158806,91.79951071,22.35771775,1,COM1,MLRM1,28.5148,776
158807,91.79907852,22.35754717,1,RES2,MHPHUD,14.1396,578
158808,91.79906935,22.35761841,1,RES2,MMUH1,14.1396,578
158809,91.79907919,22.3576687,1,COM1,MLRM1,14.1396,578
158810,91.79908305,22.35773038,1,COM1,MLRM1,14.1396,578
158811,91.79916205,22.35772268,1,RES2,MHPHUD,18.1128,578
158812,91.79929812,22.35763941,1,RES2,MHPHUD,90.9649,776
158813,91.79925712,22.35769969,1,RES2,CERBL,78.1233,776
158814,91.7993496,22.35772103,1,RES1,MSF1,31.2539,776
158815,91.79902827,22.35790706,1,RES1,MSF1,8.0374,578
158816,91.79914334,22.3579407,1,RES1,MSF1,12.383,776
158817,91.79908514,22.35793096,1,RES1,MSF1,12.383,776
158818,91.79911126,22.35782789,1,RES1,MSF1,12.383,578
158819,91.79913669,22.35780134,1,RES1,MSF1,12.383,776
158820,91.79913758,22.35777595,1,RES1,MSF1,104.5193,578
158821,91.79924055,22.35778011,1,RES1,MSF1,14.1396,776
158822,91.79924508,22.35794563,1,RES1,MSF1,14.1396,776
158823,91.79946879,22.35796031,1,RES1,MSF1,14.1396,776
158824,91.79941946,22.35814328,1,RES1,MSF1,14.1396,776
158825,91.79911338,22.35832432,1,RES1,MSF1,14.1396,776
158826,91.79932976,22.35827135,1,RES1,MSF1,18.3782,776
158827,91.79947219,22.35832391,1,RES1,MSF1,17.2871,776
158828,91.79956919,22.35836942,1,RES1,MSF1,21.2823,776
158829,91.80022526,22.35839719,1,RES1,MSF1,19.1641,776
158830,91.8017756,22.35819504,1,RES1,MSF1,17.4331,776
158831,91.80166314,22.35817494,1,RES1,MSF1,35.8331,776
158832,91.80151114,22.35844993,1,RES1,MSF1,6.8388,776
158833,91.80133711,22.35849206,1,RES1,MSF1,10.9861,776
158834,91.8010814,22.35840631,1,COM1,MLRM1,48.2871,776
158835,91.80105841,22.3580862,1,COM1,MLRM1,287.813,776
158836,91.80140125,22.35811879,1,COM1,MLRM1,287.8129,776
158837,91.80140973,22.35763843,1,COM1,MLRM1,24.8494,776
158838,91.80107529,22.35749576,1,RES1,MSF1,24.8494,776
158839,91.80067163,22.35728941,1,RES1,MSF1,24.8494,776
158840,91.8007877,22.35743368,1,RES1,MSF1,24.8494,776
158841,91.80078922,22.35735666,1,RES1,MSF1,24.8494,776
158842,91.80096064,22.35732182,1,RES1,MSF1,24.8494,776
158843,91.80006015,22.35841275,1,COM1,MLRM1,24.8494,776
158844,91.80023537,22.35856749,1,COM1,MLRM1,24.8493,776
158845,91.80014301,22.35851022,1,COM1,MLRM1,24.8494,776
158846,91.80019077,22.35854398,1,COM1,MLRM1,25.531,776
158847,91.80027191,22.35848606,1,COM1,MLRM1,25.531,776
158848,91.80031377,22.35847428,1,COM1,MLRM1,29.5657,776
158849,91.80040186,22.35852151,1,COM1,MLRM1,64.1295,776
158850,91.80053412,22.35853552,1,RES2,MHPHUD,37.4841,776
158851,91.80058458,22.3585226,1,RES2,MHPHUD,59.5447,776
158852,91.80048088,22.35844633,1,RES2,MHPHUD,78.1968,776
158853,91.80073057,22.35836218,1,RES2,MHPHUD,189.1912,776
158854,91.80066527,22.35839047,1,RES2,MHPHUD,56.7439,776
158855,91.80061183,22.35840223,1,RES2,MHPHUD,40.6566,776
158856,91.80057618,22.35841808,1,RES2,MHPHUD,40.6566,776
158857,91.80051422,22.35835395,1,RES2,CERBL,29.4372,776
158858,91.80041282,22.35831668,1,RES2,CERBL,56.7337,776
158859,91.80047798,22.35829635,1,COM1,MLRM1,110.6232,776
158860,91.80045007,22.35823439,1,COM1,MLRM1,33.5505,776
158861,91.80039346,22.35819347,1,COM1,MLRM1,35.1338,776
158862,91.80069047,22.35807787,1,COM1,MLRM1,44.1692,776
158863,91.80043245,22.35807572,1,COM1,MLRM1,144.7373,776
158864,91.80057129,22.35808351,1,COM1,MLRM1,43.9421,776
158865,91.80027222,22.35791443,1,COM1,MLRM1,50.9501,776
158866,91.80042952,22.35798835,1,COM1,MLRM1,96.4495,776
158867,91.80050493,22.35798996,1,COM1,MLRM1,87.2677,776
158868,91.80045526,22.35789165,1,COM1,MLRM1,146.1321,776
158869,91.80020491,22.35811206,1,COM1,MLRM1,69.9496,776
158870,91.80000253,22.35815885,1,COM1,MLRM1,10.2251,776
158871,91.80005133,22.35814432,1,COM1,MLRM1,9.9955,776
158872,91.80009987,22.35812729,1,COM1,MLRM1,10.1732,776
158873,91.80014866,22.35811276,1,COM1,MLRM1,462.4919,776
158874,91.80013096,22.35822011,1,COM1,MLRM1,408.4603,776
158875,91.79995193,22.35799856,1,COM1,MLRM1,10.2251,776
158876,91.7999032,22.35785645,1,RES6,MHPHUD,10.1732,776
158877,91.80008875,22.35780698,1,RES6,MHPHUD,20.4979,776
158878,91.80023587,22.35781799,1,RES6,MHPHUD,10.1732,776
158879,91.80036881,22.35763222,1,RES6,MHPHUD,10.1732,776
158880,91.80024928,22.35769035,1,RES6,MHPHUD,10.1732,776
158881,91.80015145,22.3575648,1,RES6,MHPHUD,12.3509,776
158882,91.80003988,22.35768917,1,RES6,MHPHUD,9.0211,776
158883,91.79999559,22.35771835,1,RES6,MHPHUD,9.0211,776
158884,91.79995716,22.35773247,1,RES6,MHPHUD,8.1799,776
158885,91.79991875,22.35774593,1,RES6,MHPHUD,8.1799,776
158886,91.79988032,22.35776006,1,RES6,MHPHUD,8.1799,776
158887,91.79974606,22.35780001,1,RES6,MHPHUD,8.1799,776
158888,91.79979428,22.35778188,1,RES6,MHPHUD,8.1799,776
158889,91.79978356,22.35771354,1,COM1,MLRM1,7.9405,776
158890,91.79983178,22.3576954,1,COM1,MLRM1,11.4041,776
158891,91.79984649,22.35757672,1,RES1,MSF1,10.2394,776
158892,91.7997722,22.35739903,1,RES1,MSF1,11.4808,776
158893,91.79953818,22.35728793,1,RES1,MSF1,10.4078,573
158894,91.79956748,22.35727555,1,RES1,MSF1,12.0824,573
158895,91.79959825,22.35726328,1,RES1,MSF1,10.4824,573
158896,91.79959535,22.35736651,1,RES1,MSF1,15.1534,573
158897,91.79957599,22.35733922,1,RES1,MSF1,25.978,573
158898,91.79960736,22.35732461,1,RES1,MSF1,219.7787,573
158899,91.79963616,22.35731126,1,RES1,MSF1,10.5615,573
158900,91.7996609,22.35729128,1,RES1,MSF1,42.9383,573
158901,91.79974972,22.35728772,1,COM1,MLRM1,47.7252,573
158902,91.79977972,22.35727687,1,COM1,MLRM1,47.7253,573
158903,91.79968744,22.35724359,1,COM1,MLRM1,47.7253,573
158904,91.79974997,22.35723001,1,RES1,MSF1,64.2587,573
